SCL_mean,SCL_std,SCL_median,SCL_min,SCL_max,SCR_mean,SCR_std,SCR_median,SCR_min,SCR_max,GSR_mean,GSR_std,GSR_median,GSR_min,GSR_max,diff_1_mean,diff_1_std,diff_1_median,diff_1_min,diff_1_max,diff_2_mean,diff_2_std,diff_2_median,diff_2_min,diff_2_max,derv_1_mean,derv_1_std,derv_1_median,derv_1_min,derv_1_max,derv_2_mean,derv_2_std,derv_2_median,derv_2_min,derv_2_max
0.5373256133776997,0.002831390116909443,0.5365550574991363,0.5342116671872141,0.5426241975692127,0.00027889866665496075,0.00026468924821283475,0.00017660616682108822,0.0,0.0008047097583460981,0.5376045120443547,0.0027382878346766727,0.5365972848941833,0.5347494986086546,0.5442519247163662,0.00022292041170791102,0.00032697226559707886,0.0001306465314219185,-0.00043205398975176834,0.0010550113908819325,3.913329949036055e-05,0.00013883574914100958,3.1204131324846784e-05,-0.0002878339382552664,0.0002800980491893812,0.0002251343689293403,0.0003366135243364625,0.000126837281076847,-0.00043205398975176834,0.0010550113908819325,3.894505723315289e-05,0.00012335530817048887,3.2444061717998296e-05,-0.00026211116489643915,0.0002608123474642787
0.5450034677803087,0.010133117524080288,0.5427257158384642,0.5335728452005601,0.5637386340036378,0.0014745574213684163,0.0009205862440455158,0.0013285959916974337,0.0,0.0033328418308961804,0.5464780252016773,0.009989154677733694,0.5413021539758274,0.5359088277715864,0.565477523942743,0.0007581716966963215,0.0006424451342702641,0.0007851129695701786,-7.827808498617195e-05,0.002103489600535857,1.4892855197497881e-05,0.00018347189981158767,-1.0531867875696044e-05,-0.00030941885280300063,0.0003007037790114797,0.000751426100458992,0.0006309883584594009,0.0007595114125802938,-6.514022087950044e-05,0.0021020155273580032,1.4116566043118756e-05,0.0001695903968119956,-9.105767105166418e-06,-0.0002885188486114465,0.00029704128853774714
0.5615756405499855,0.007857110148819953,0.5641193326124456,0.5418391702608663,0.5718641117499671,-0.00214696306338544,0.003996317416056202,-0.0008072159208159151,-0.009359187639106188,0.0023436546204645536,0.5594286774866,0.011262523045353951,0.5626089208087084,0.5409378994421931,0.5730544035899183,0.0008110139400396929,0.0009759414707293048,0.0009297878748877331,-0.0015821446579258325,0.0021955392569569243,6.0000704590735286e-05,0.00036700479703721535,9.382265150564839e-05,-0.0006666641835894049,0.0009174226013117792,0.0008171267382820243,0.0009642374009910985,0.0009787319058105204,-0.0015015050806218566,0.0021955392569569243,5.9510079268194904e-05,0.0003399249018715315,8.585000719874003e-05,-0.000623039267662745,0.0008548589127639061
0.5704109730007623,0.006554540181170136,0.5702092601971458,0.5599116816265479,0.581659483359838,0.0016905782550377005,0.0012956045765107828,0.0013039905452699875,-0.0015652357606351615,0.004224511423072475,0.5721015512558001,0.006484113555727343,0.5719552041669573,0.5596964825469452,0.5812242661607607,0.0005127156337169234,0.0008621579892447303,0.000770669274460678,-0.001558327919914726,0.0018028798814789804,-3.0307755163628885e-05,0.00034343257177463845,-1.2904874636066044e-05,-0.0006597501795944094,0.0008817140224530728,0.0005047682910327936,0.0008409853898478331,0.0007430645006037406,-0.0014804456796829735,0.0017381827659438964,-2.8546414986230923e-05,0.00031429068564444704,-1.289408413993054e-05,-0.0006175943210545431,0.0008149318961679919
0.5792720377842457,0.002498907533074396,0.5804195943321955,0.5713439130568968,0.5809945155435557,-0.0019339343162574282,0.002204065584192924,-0.0008884378694485006,-0.007508010038043694,0.0,0.5773381034679882,0.004395307660456651,0.579360929584027,0.5670289033385449,0.5812027691755887,0.00020904684204941357,0.0008204635139802013,0.00020492963304985512,-0.002392497433341023,0.0018497277267828238,5.902810286145226e-05,0.00033166890059858743,1.5045312634687225e-05,-0.000345991408830848,0.0010751761666705217,0.0001720465840238425,0.0008451127358712405,9.993314552855792e-05,-0.002392497433341023,0.0017796450338983805,5.97290543213419e-05,0.00030550934881580353,3.700431398190318e-06,-0.0003172620135045434,0.0010055238409518996
0.5809137415890714,0.003144766138892414,0.5798797488917449,0.577440034486416,0.5869400801816747,0.0016362452544338654,0.0015930273650781486,0.0010439259780285885,0.0,0.005276394891762886,0.5825499868435051,0.004659616986942149,0.5805457688985542,0.5790304255448835,0.595232916218722,0.00036582042598145626,0.0006570853253796195,7.85114287191746e-05,-0.00032879184059497746,0.0017417214990267382,2.0724253341334497e-05,0.0001516298730052891,1.3397089440481125e-05,-0.0001995673561108191,0.00037608413359579984,0.00036980197480170757,0.0006479961638165788,0.00013540654674631947,-0.00032030820082845635,0.0017399648283349944,1.8733906443917093e-05,0.00014142476928325393,4.75694468780874e-06,-0.00018764297220180692,0.00035975429340542875
0.5950780034695381,0.016677224108386436,0.591397050688882,0.5761982949643503,0.6258772908875033,0.005272219482815843,0.007585765272925846,0.0012874670054101203,0.0,0.022275023264285466,0.6003502229523539,0.023365109311076066,0.5915785337633653,0.5797209342455713,0.6491250197278009,0.0017722671702783354,0.001783036751950046,0.001390866062245033,-0.0002186925343385937,0.006140480484436828,3.118451129523411e-05,0.00046690198017205743,-8.053588052503446e-06,-0.0010574972644891156,0.0010804002020193826,0.0017514245272078261,0.001753126632297019,0.0014754335820078568,-0.0002159347191051375,0.006018093160286897,2.8567787854267417e-05,0.00043315799979599056,-1.101014379958909e-05,-0.000980047052419386,0.0010062766771152531
0.6172149868280734,0.014016780029252562,0.6194377828187649,0.5875707274933815,0.6386031467687677,0.00771240815720239,0.010591446405742519,0.0070690635665399525,-0.006651513698810389,0.025469346064844904,0.6249273949852752,0.02216002623631293,0.6388938126821013,0.5864663467967999,0.6482048474064465,0.0014330712386436057,0.002090157307290354,0.0011816544847863542,-0.0013414492625293262,0.006153469859661698,-1.0978447201092615e-05,0.0005142361626246191,9.510285160185816e-05,-0.0010140027985281463,0.0010815456802935053,0.0014328932835368986,0.0020488520609301866,0.0011836537533392588,-0.001327569924995109,0.006041797961134743,-1.0265475640296173e-05,0.0004829076448742817,7.093563866694685e-05,-0.0009435615166309974,0.0010078737112454994
0.6394252091454031,0.008403316054781677,0.6369488915435477,0.6302462732787961,0.6552285981842737,0.006182294571191382,0.005471521093687464,0.003688543164666525,0.0,0.01719667790314574,0.6456075037165948,0.006049149153010097,0.6452671810687709,0.632228058732534,0.6557470717319493,0.0005740139984504533,0.0012314208805544995,0.0007665936849804433,-0.001349309691078604,0.003477837630958658,-0.00010406180489121248,0.0003054025287903523,-4.0621902832937984e-05,-0.0006803801040855539,0.00038187230443453846,0.0005971802319398326,0.0012539635398347206,0.0007933583063552407,-0.0013329279869632726,0.003477837630958658,-0.0001007447245298991,0.0002889631428670496,-4.287135362862626e-05,-0.0006558602396773694,0.0003652570745138195
0.6532952015280042,0.006202453583594114,0.6545185488780039,0.6395740813905545,0.6624724600797409,-0.0015834110134382525,0.001584666953249509,-0.0008584008310673515,-0.0047352015976233576,0.0,0.6517117905145661,0.00755217125049429,0.6547468977504626,0.6389094108481836,0.6624282275649882,0.0005776545730106077,0.0005832659026672099,0.0007192896558381179,-0.0005764740257180323,0.0015033727266187125,1.6041907031884077e-05,0.00021106773839478648,3.391280634762461e-05,-0.0004500097242656764,0.00039637552834115297,0.0005564212638825367,0.0005839163387404264,0.0006660470321553369,-0.0005764740257180323,0.0015029595431252374,1.581068294786922e-05,0.00019539899295361842,4.061231316651592e-05,-0.0004186774605320631,0.0003734749890218769
